omega_pe_t,relative_error_R3,relative_error_R5,relative_error_R7,relative_error_R9
3.184119008671964846e+00,9.073769788468728068e-06,3.100471610494511325e-11,3.931004031931569174e-12,2.931291150967410729e-11
3.233870868182464164e+00,9.221133446340705548e-06,3.150338970185549834e-11,3.994268246315886088e-12,2.955343044151149060e-11
3.283622727692963927e+00,9.364859509013624824e-06,3.200766829643410445e-11,4.058036617465107609e-12,2.975477238647869509e-11
3.333374587203463246e+00,9.505612406560600704e-06,3.252075327506876970e-11,4.123480224737901122e-12,2.991798511750240690e-11
3.383126446713963009e+00,9.644236391551190072e-06,3.304451526350021800e-11,4.189888717008613861e-12,3.004480975032072610e-11
3.432878306224462328e+00,9.781726027933373930e-06,3.358153584484952915e-11,4.257992034148128933e-12,3.013868117516374061e-11
3.482630165734961647e+00,9.919186573314253604e-06,3.413496950895088790e-11,4.328296541172996621e-12,3.020457145434936457e-11
3.532382025245460966e+00,1.005778579510317614e-05,3.470631053746981000e-11,4.400668810554288829e-12,3.024729318622469659e-11
3.582133884755960285e+00,1.019869956683882921e-05,3.529786437343928720e-11,4.475424348141655162e-12,3.027369888034597085e-11
3.631885744266460048e+00,1.034305427343133263e-05,3.591085128193855550e-11,4.552858342333282456e-12,3.029070700494669573e-11
3.681637603776959367e+00,1.049186956805759995e-05,3.654677509903749973e-11,4.633200773971247964e-12,3.030573761909860989e-11
3.731389463287458685e+00,1.064600522102118048e-05,3.720517399631138776e-11,4.716286489049519195e-12,3.032574037475242198e-11
3.781141322797958448e+00,1.080611566262474104e-05,3.788639516621500771e-11,4.802362935938826473e-12,3.035840989636509902e-11
3.830893182308457767e+00,1.097261530341679009e-05,3.858921796280010487e-11,4.891218731587072170e-12,3.041008998121928599e-11
3.880645041818957530e+00,1.114565688713381158e-05,3.931255388315116009e-11,4.982753181669112754e-12,3.048588963623093253e-11
3.930396901329456849e+00,1.132512407463201880e-05,4.005441286856135093e-11,5.076866970515383991e-12,3.059020108050281425e-11
3.980148760839956168e+00,1.151063830100715603e-05,4.081197442814113836e-11,5.172917114831230119e-12,3.072543423222144537e-11
4.029900620350455043e+00,1.170157886354301673e-05,4.158300026749178597e-11,5.270935633781265023e-12,3.089283122972621078e-11
4.079652479860955694e+00,1.189711427490521722e-05,4.236347395249686415e-11,5.370084313566315519e-12,3.109167764451407043e-11
4.129404339371454569e+00,1.209624229079859897e-05,4.315117903100830287e-11,5.470446817916277432e-12,3.132058813409712322e-11
4.179156198881954332e+00,1.229783567047168409e-05,4.394189336811594830e-11,5.571230218222824433e-12,3.157577369673612198e-11
4.228908058392453206e+00,1.250069071095213363e-05,4.473290402738887384e-11,5.672036431688813552e-12,3.185398234631554862e-11
4.278659917902952081e+00,1.270357578735936745e-05,4.552088488689266909e-11,5.772995103193078862e-12,3.215012989239751950e-11
4.328411777413452732e+00,1.290527752560942287e-05,4.630227794166763774e-11,5.873076222610971623e-12,3.245843130743689594e-11
4.378163636923951607e+00,1.310464271572407332e-05,4.707486255217579790e-11,5.972343416187095306e-12,3.277379678127119117e-11
4.427915496434451370e+00,1.330061458862976746e-05,4.783541645099234706e-11,6.069814882056309805e-12,3.309017729791377408e-11
4.477667355944950245e+00,1.349226259283194667e-05,4.858217986886309617e-11,6.166047589040534009e-12,3.340326638407545574e-11
4.527419215455450008e+00,1.367880524836150243e-05,4.931296568628692710e-11,6.260140493800622911e-12,3.370857010468509048e-11
4.577171074965949771e+00,1.385962606228380276e-05,5.002603285521106002e-11,6.352137580616055372e-12,3.400239470042126915e-11
4.626922934476449534e+00,1.403428279022698712e-05,5.072000150598753841e-11,6.441662734677389749e-12,3.428231917468730190e-11
