m,step,physical_time,omega_pe_t,kvn_physical_dt,rk4_dt,relative_error
2.000000000000000000e+00,2.200000000000000000e+01,1.094540909230987857e+01,1.094540909230987902e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.452495258599099115e-01
2.000000000000000000e+00,2.300000000000000000e+01,1.144292768741487265e+01,1.144292768741487221e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.484816914051957371e-01
2.000000000000000000e+00,2.400000000000000000e+01,1.194044628251986850e+01,1.194044628251986984e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.515735199823057544e-01
2.000000000000000000e+00,2.500000000000000000e+01,1.243796487762486258e+01,1.243796487762486302e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.545359624775987373e-01
2.000000000000000000e+00,2.600000000000000000e+01,1.293548347272985666e+01,1.293548347272985843e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.573771416915888954e-01
2.000000000000000000e+00,2.700000000000000000e+01,1.343300206783485073e+01,1.343300206783485162e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.601030835201857627e-01
2.000000000000000000e+00,2.800000000000000000e+01,1.393052066293984659e+01,1.393052066293984703e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.627186618513349892e-01
2.000000000000000000e+00,2.900000000000000000e+01,1.442803925804484066e+01,1.442803925804484244e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.652287076928350140e-01
2.000000000000000000e+00,3.000000000000000000e+01,1.492555785314983474e+01,1.492555785314983563e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.676392261599680134e-01
2.000000000000000000e+00,3.100000000000000000e+01,1.542307644825482882e+01,1.542307644825482882e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.699586597231433627e-01
2.000000000000000000e+00,3.200000000000000000e+01,1.592059504335982467e+01,1.592059504335982645e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.721991312065700719e-01
2.000000000000000000e+00,3.300000000000000000e+01,1.641811363846481697e+01,1.641811363846481742e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.743775942469136531e-01
2.000000000000000000e+00,3.400000000000000000e+01,1.691563223356981283e+01,1.691563223356981283e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.765168116225837303e-01
2.000000000000000000e+00,3.500000000000000000e+01,1.741315082867480868e+01,1.741315082867481046e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.786460733491416208e-01
2.000000000000000000e+00,3.600000000000000000e+01,1.791066942377980098e+01,1.791066942377980142e+00,4.975185951049945210e-01,3.886864024257769695e-03,1.808015582974276114e-01
